Gblade_tsr=7
             x                       y                       z
  -5.16530e-02             4.12500e-01            -6.80821e-03
  -5.16323e-02             4.12500e-01            -9.49201e-03
  -5.16323e-02             4.12500e-01            -9.49201e-03
  -5.13072e-02             4.12500e-01            -1.20106e-02
  -5.08084e-02             4.12500e-01            -1.41354e-02
  -5.01518e-02             4.12500e-01            -1.62692e-02
  -4.93545e-02             4.12500e-01            -1.81803e-02
  -4.83744e-02             4.12500e-01            -2.00465e-02
  -4.72410e-02             4.12500e-01            -2.19156e-02
  -4.59362e-02             4.12500e-01            -2.37088e-02
  -4.44710e-02             4.12500e-01            -2.54516e-02
  -4.28483e-02             4.12500e-01            -2.71951e-02
  -4.10650e-02             4.12500e-01            -2.88377e-02
  -3.91361e-02             4.12500e-01            -3.04253e-02
  -3.70507e-02             4.12500e-01            -3.20181e-02
  -3.48270e-02             4.12500e-01            -3.34528e-02
  -3.24577e-02             4.12500e-01            -3.48758e-02
  -2.99536e-02             4.12500e-01            -3.62341e-02
  -2.73173e-02             4.12500e-01            -3.74759e-02
  -2.45506e-02             4.12500e-01            -3.86828e-02
  -2.16666e-02             4.12500e-01            -3.97844e-02
  -1.86586e-02             4.12500e-01            -4.08049e-02
  -1.55467e-02             4.12500e-01            -4.17377e-02
  -1.23233e-02             4.12500e-01            -4.25752e-02
  -9.00395e-03             4.12500e-01            -4.33010e-02
  -5.59069e-03             4.12500e-01            -4.39507e-02
  -2.08891e-03             4.12500e-01            -4.44667e-02
   1.48857e-03             4.12500e-01            -4.48697e-02
   5.14767e-03             4.12500e-01            -4.52051e-02
   8.86278e-03             4.12500e-01            -4.53482e-02
   1.26469e-02             4.12500e-01            -4.54237e-02
   1.64764e-02             4.12500e-01            -4.53556e-02
   2.03556e-02             4.12500e-01            -4.51509e-02
   2.42728e-02             4.12500e-01            -4.48356e-02
   2.82194e-02             4.12500e-01            -4.43745e-02
   3.21972e-02             4.12500e-01            -4.37936e-02
   3.61834e-02             4.12500e-01            -4.30683e-02
   4.01923e-02             4.12500e-01            -4.22313e-02
   4.41927e-02             4.12500e-01            -4.12211e-02
   4.82009e-02             4.12500e-01            -4.01340e-02
   5.21954e-02             4.12500e-01            -3.88717e-02
   5.61823e-02             4.12500e-01            -3.75222e-02
   6.01535e-02             4.12500e-01            -3.60820e-02
   6.41057e-02             4.12500e-01            -3.45208e-02
   6.80370e-02             4.12500e-01            -3.29056e-02
   7.19399e-02             4.12500e-01            -3.12183e-02
   7.58132e-02             4.12500e-01            -2.94574e-02
   7.96549e-02             4.12500e-01            -2.76797e-02
   8.34578e-02             4.12500e-01            -2.58544e-02
   8.72235e-02             4.12500e-01            -2.40138e-02
   9.09420e-02             4.12500e-01            -2.21756e-02
   9.46127e-02             4.12500e-01            -2.03173e-02
   9.82274e-02             4.12500e-01            -1.84624e-02
   1.01780e-01             4.12500e-01            -1.66312e-02
   1.05268e-01             4.12500e-01            -1.47762e-02
   1.08681e-01             4.12500e-01            -1.29392e-02
   1.12020e-01             4.12500e-01            -1.11453e-02
   1.15270e-01             4.12500e-01            -9.31458e-03
   1.18437e-01             4.12500e-01            -7.54609e-03
   1.21501e-01             4.12500e-01            -5.76900e-03
   1.24471e-01             4.12500e-01            -4.00946e-03
   1.27326e-01             4.12500e-01            -2.26808e-03
   1.30076e-01             4.12500e-01            -5.46922e-04
   1.32700e-01             4.12500e-01             1.18803e-03
   1.35207e-01             4.12500e-01             2.85730e-03
   1.37581e-01             4.12500e-01             4.57122e-03
   1.39824e-01             4.12500e-01             6.25061e-03
   1.41926e-01             4.12500e-01             7.88573e-03
   1.43885e-01             4.12500e-01             9.58716e-03
   1.45698e-01             4.12500e-01             1.12367e-02
   1.47356e-01             4.12500e-01             1.28694e-02
   1.48862e-01             4.12500e-01             1.45494e-02
   1.50208e-01             4.12500e-01             1.61786e-02
   1.51391e-01             4.12500e-01             1.78129e-02
   1.52408e-01             4.12500e-01             1.95080e-02
   1.53258e-01             4.12500e-01             2.11179e-02
   1.53940e-01             4.12500e-01             2.27850e-02
   1.54452e-01             4.12500e-01             2.45412e-02
   1.54794e-01             4.12500e-01             2.62090e-02
   1.54966e-01             4.12500e-01             2.82436e-02
  -5.16323e-02             4.12500e-01            -9.49201e-03

  -7.77733e-02             7.00000e-01            -2.00140e-02
   2.33276e-01             7.00000e-01             6.02132e-02
   2.33012e-01             7.00000e-01             6.01913e-02
   2.32486e-01             7.00000e-01             6.01475e-02
   2.31698e-01             7.00000e-01             6.00819e-02
   2.30649e-01             7.00000e-01             5.99946e-02
   2.29340e-01             7.00000e-01             5.98858e-02
   2.27775e-01             7.00000e-01             5.97555e-02
   2.25955e-01             7.00000e-01             5.96041e-02
   2.23884e-01             7.00000e-01             5.94318e-02
   2.21565e-01             7.00000e-01             5.92401e-02
   2.18997e-01             7.00000e-01             5.90418e-02
   2.16189e-01             7.00000e-01             5.88250e-02
   2.13142e-01             7.00000e-01             5.86018e-02
   2.09861e-01             7.00000e-01             5.83703e-02
   2.06353e-01             7.00000e-01             5.81291e-02
   2.02620e-01             7.00000e-01             5.78863e-02
   1.98672e-01             7.00000e-01             5.76334e-02
   1.94511e-01             7.00000e-01             5.73847e-02
   1.90147e-01             7.00000e-01             5.71266e-02
   1.85584e-01             7.00000e-01             5.68754e-02
   1.80833e-01             7.00000e-01             5.66170e-02
   1.75896e-01             7.00000e-01             5.63690e-02
   1.70786e-01             7.00000e-01             5.61175e-02
   1.65506e-01             7.00000e-01             5.58814e-02
   1.60069e-01             7.00000e-01             5.56461e-02
   1.54479e-01             7.00000e-01             5.54264e-02
   1.48750e-01             7.00000e-01             5.52075e-02
   1.42890e-01             7.00000e-01             5.49942e-02
   1.36909e-01             7.00000e-01             5.47801e-02
   1.30819e-01             7.00000e-01             5.45656e-02
   1.24630e-01             7.00000e-01             5.43408e-02
   1.18353e-01             7.00000e-01             5.41090e-02
   1.12004e-01             7.00000e-01             5.38479e-02
   1.05587e-01             7.00000e-01             5.35776e-02
   9.91279e-02             7.00000e-01             5.32415e-02
   9.26248e-02             7.00000e-01             5.28882e-02
   8.61029e-02             7.00000e-01             5.24613e-02
   7.95630e-02             7.00000e-01             5.19990e-02
   7.30239e-02             7.00000e-01             5.14706e-02
   6.64956e-02             7.00000e-01             5.08789e-02
   5.99867e-02             7.00000e-01             5.02331e-02
   5.35200e-02             7.00000e-01             4.94862e-02
   4.70891e-02             7.00000e-01             4.87054e-02
   4.07344e-02             7.00000e-01             4.77749e-02
   3.44366e-02             7.00000e-01             4.68123e-02
   2.82381e-02             7.00000e-01             4.56931e-02
   2.21276e-02             7.00000e-01             4.45023e-02
   1.61306e-02             7.00000e-01             4.31816e-02
   1.02589e-02             7.00000e-01             4.17250e-02
   4.51000e-03             7.00000e-01             4.01815e-02
  -1.08075e-03             7.00000e-01             3.84523e-02
  -6.54488e-03             7.00000e-01             3.66982e-02
  -1.18212e-02             7.00000e-01             3.47186e-02
  -1.69535e-02             7.00000e-01             3.27200e-02
  -2.19013e-02             7.00000e-01             3.05812e-02
  -2.66767e-02             7.00000e-01             2.83834e-02
  -3.12712e-02             7.00000e-01             2.61273e-02
  -3.56682e-02             7.00000e-01             2.37808e-02
  -3.98878e-02             7.00000e-01             2.14544e-02
  -4.38848e-02             7.00000e-01             1.90018e-02
  -4.76972e-02             7.00000e-01             1.66006e-02
  -5.12858e-02             7.00000e-01             1.41258e-02
  -5.46704e-02             7.00000e-01             1.16815e-02
  -5.78375e-02             7.00000e-01             9.24010e-03
  -6.07797e-02             7.00000e-01             6.79707e-03
  -6.35122e-02             7.00000e-01             4.43391e-03
  -6.59985e-02             7.00000e-01             2.02991e-03
  -6.82775e-02             7.00000e-01            -2.44239e-04
  -7.03028e-02             7.00000e-01            -2.55099e-03
  -7.21078e-02             7.00000e-01            -4.74380e-03
  -7.36687e-02             7.00000e-01            -6.90030e-03
  -7.49859e-02             7.00000e-01            -9.00542e-03
